Week,Tinder 
01-11-15,11
08-11-15,16
15-11-15,11
22-11-15,5
29-11-15,26
06-12-15,11
13-12-15,5
20-12-15,12
27-12-15,0
03-01-16,17
10-01-16,16
17-01-16,11
24-01-16,0
31-01-16,5
07-02-16,0
14-02-16,0
21-02-16,5
28-02-16,11
06-03-16,0
13-03-16,11
20-03-16,17
27-03-16,22
03-04-16,16
10-04-16,16
17-04-16,22
24-04-16,11
01-05-16,0
08-05-16,11
15-05-16,11
22-05-16,5
29-05-16,0
05-06-16,0
12-06-16,17
19-06-16,17
26-06-16,11
03-07-16,12
10-07-16,6
17-07-16,6
24-07-16,6
31-07-16,24
07-08-16,12
14-08-16,6
21-08-16,6
28-08-16,23
04-09-16,29
11-09-16,6
18-09-16,6
25-09-16,6
02-10-16,11
09-10-16,17
16-10-16,33
23-10-16,0
30-10-16,33
06-11-16,5
13-11-16,17
20-11-16,5
27-11-16,5
04-12-16,21
11-12-16,16
18-12-16,0
25-12-16,6
01-01-17,5
08-01-17,15
15-01-17,10
22-01-17,20
29-01-17,5
05-02-17,15
12-02-17,5
19-02-17,15
26-02-17,20
05-03-17,5
12-03-17,0
19-03-17,25
26-03-17,0
02-04-17,15
09-04-17,10
16-04-17,20
23-04-17,20
30-04-17,47
07-05-17,25
14-05-17,32
21-05-17,11
28-05-17,22
04-06-17,26
11-06-17,32
18-06-17,21
25-06-17,27
02-07-17,39
09-07-17,27
16-07-17,22
23-07-17,16
30-07-17,26
06-08-17,31
13-08-17,21
20-08-17,16
27-08-17,16
03-09-17,26
10-09-17,26
17-09-17,25
24-09-17,47
01-10-17,36
08-10-17,51
15-10-17,21
22-10-17,35
29-10-17,5
05-11-17,5
12-11-17,29
19-11-17,15
26-11-17,29
03-12-17,25
10-12-17,25
17-12-17,31
24-12-17,17
31-12-17,31
07-01-18,10
14-01-18,19
21-01-18,24
28-01-18,24
04-02-18,48
11-02-18,24
18-02-18,38
25-02-18,33
04-03-18,24
11-03-18,14
18-03-18,38
25-03-18,30
01-04-18,39
08-04-18,14
15-04-18,19
22-04-18,33
29-04-18,34
06-05-18,39
13-05-18,38
20-05-18,34
27-05-18,39
03-06-18,39
10-06-18,33
17-06-18,33
24-06-18,57
01-07-18,24
08-07-18,24
15-07-18,54
22-07-18,34
29-07-18,87
05-08-18,28
12-08-18,24
19-08-18,29
26-08-18,29
02-09-18,33
09-09-18,19
16-09-18,37
23-09-18,51
30-09-18,42
07-10-18,23
14-10-18,58
21-10-18,28
28-10-18,19
04-11-18,56
11-11-18,38
18-11-18,19
25-11-18,42
02-12-18,38
09-12-18,38
16-12-18,29
23-12-18,58
30-12-18,36
06-01-19,52
13-01-19,33
20-01-19,23
27-01-19,28
03-02-19,32
10-02-19,59
17-02-19,60
24-02-19,23
03-03-19,33
10-03-19,23
17-03-19,47
24-03-19,32
31-03-19,42
07-04-19,28
14-04-19,43
21-04-19,38
28-04-19,75
05-05-19,69
12-05-19,38
19-05-19,37
26-05-19,51
02-06-19,73
09-06-19,27
16-06-19,70
23-06-19,28
30-06-19,52
07-07-19,78
14-07-19,85
21-07-19,95
28-07-19,43
04-08-19,53
11-08-19,56
18-08-19,23
25-08-19,32
01-09-19,71
08-09-19,31
15-09-19,35
22-09-19,31
29-09-19,35
06-10-19,57
13-10-19,26
20-10-19,35
27-10-19,47
03-11-19,70
10-11-19,26
17-11-19,56
24-11-19,65
01-12-19,34
08-12-19,48
15-12-19,44
22-12-19,38
29-12-19,74
05-01-20,51
12-01-20,69
19-01-20,33
26-01-20,59
02-02-20,53
09-02-20,33
16-02-20,33
23-02-20,89
01-03-20,67
08-03-20,35
15-03-20,54
22-03-20,75
29-03-20,68
05-04-20,100
12-04-20,64
19-04-20,49
26-04-20,37
03-05-20,52
10-05-20,53
17-05-20,49
24-05-20,50
31-05-20,52
07-06-20,57
14-06-20,80
21-06-20,67
28-06-20,40
05-07-20,63
12-07-20,45
19-07-20,57
26-07-20,79
02-08-20,33
09-08-20,53
16-08-20,36
23-08-20,47
30-08-20,55
06-09-20,63
13-09-20,54
20-09-20,73
27-09-20,28
04-10-20,52
11-10-20,89
18-10-20,55
25-10-20,63
01-11-20,62
08-11-20,53
15-11-20,41
22-11-20,66
29-11-20,41
06-12-20,70
13-12-20,50
20-12-20,36
27-12-20,66
